epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,16693.4,1.06212,0.89479,1.2209,0.8241,0.64201,0.73861,0.51805,1.16826,0.81613,1.10191,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,16891.8,1.06294,0.88686,1.21319,0.82368,0.64112,0.73709,0.51851,1.16772,0.81731,1.10172,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,17089.8,1.05037,0.88584,1.21202,0.82473,0.64285,0.73763,0.51908,1.16746,0.81915,1.10198,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,17287.7,1.05125,0.88096,1.21532,0.81605,0.6498,0.73715,0.51836,1.16729,0.81918,1.10206,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,17485.7,1.05546,0.87933,1.21511,0.81538,0.64961,0.73671,0.51851,1.16629,0.82049,1.10183,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,17684.3,1.05297,0.87588,1.20949,0.82196,0.64503,0.73801,0.51908,1.16617,0.82103,1.10202,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,17882.5,1.04645,0.87918,1.20788,0.82764,0.6441,0.73858,0.51872,1.16639,0.82233,1.10217,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,18080.9,1.04366,0.87445,1.2056,0.8231,0.64507,0.73864,0.5187,1.16592,0.82394,1.10216,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,18279.2,1.03758,0.86774,1.2066,0.82402,0.64457,0.73855,0.51853,1.16632,0.82382,1.10251,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,18477.8,1.04586,0.86678,1.20392,0.82184,0.64478,0.73713,0.5183,1.16673,0.8253,1.1035,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,18676.2,1.03242,0.86872,1.20169,0.81714,0.64712,0.73654,0.51786,1.16733,0.82607,1.1039,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,18874.9,1.03428,0.8588,1.19967,0.82339,0.64232,0.73571,0.51797,1.16751,0.82757,1.10402,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,19073,1.03803,0.86669,1.20685,0.82535,0.63766,0.73467,0.5181,1.16774,0.82919,1.10424,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,19271.4,1.04023,0.86626,1.20128,0.82555,0.63631,0.73445,0.51822,1.16764,0.8315,1.10503,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
