               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.045974,            0.017052,           0.0018351,             0.78596,             0.61818,             0.71963,             0.44812,            0.042141,            0.024656,           0.0021209,            0.008449,            0.008449,            0.008449
                  49,            0.046095,             0.01715,           0.0017126,             0.77501,             0.62435,             0.71984,             0.44864,            0.042043,            0.024629,           0.0021402,            0.008416,            0.008416,            0.008416
                  50,            0.045552,            0.016942,           0.0016465,             0.76476,             0.63188,             0.71863,             0.45041,            0.042029,            0.024578,           0.0021189,            0.008383,            0.008383,            0.008383
                  51,            0.045647,            0.016835,           0.0016544,             0.77939,             0.62259,             0.71771,             0.44943,            0.042066,            0.024553,           0.0021826,             0.00835,             0.00835,             0.00835
                  52,            0.045794,            0.016907,           0.0016081,             0.78245,             0.62111,             0.71645,             0.44887,            0.042096,            0.024537,           0.0022294,            0.008317,            0.008317,            0.008317
                  53,            0.045593,            0.016878,           0.0016708,             0.78149,             0.62131,             0.71543,             0.45035,            0.042128,            0.024516,           0.0022032,            0.008284,            0.008284,            0.008284
                  54,            0.045558,            0.016809,           0.0015595,             0.78433,             0.62077,             0.71657,             0.45228,            0.042124,            0.024493,           0.0021558,            0.008251,            0.008251,            0.008251
                  55,             0.04546,            0.016905,           0.0014836,             0.78868,             0.62096,             0.71854,             0.45382,            0.042123,            0.024472,           0.0021581,            0.008218,            0.008218,            0.008218
                  56,            0.045399,            0.016845,             0.00161,             0.78771,              0.6213,              0.7195,             0.45551,            0.042145,            0.024453,           0.0021659,            0.008185,            0.008185,            0.008185
                  57,             0.04549,            0.016779,            0.001608,             0.78404,              0.6213,             0.71933,             0.45613,            0.042123,            0.024431,           0.0021847,            0.008152,            0.008152,            0.008152
                  58,            0.045729,            0.016839,           0.0016704,                0.79,             0.61868,             0.71936,              0.4563,             0.04215,            0.024421,           0.0021595,            0.008119,            0.008119,            0.008119
                  59,            0.045417,            0.016873,           0.0016377,             0.79233,             0.61947,             0.71915,             0.45587,            0.042162,            0.024407,           0.0021628,            0.008086,            0.008086,            0.008086
                  60,            0.045517,            0.016662,           0.0015046,             0.78745,             0.62305,             0.71997,             0.45617,            0.042167,            0.024397,           0.0021495,            0.008053,            0.008053,            0.008053
                  61,            0.045244,            0.016714,           0.0015493,             0.76606,             0.63749,             0.72013,             0.45547,            0.042176,            0.024386,           0.0021478,             0.00802,             0.00802,             0.00802
                  62,            0.045389,            0.016778,           0.0015996,             0.76635,             0.63777,             0.72022,             0.45705,            0.042182,            0.024381,           0.0021577,            0.007987,            0.007987,            0.007987
                  63,            0.045224,            0.016977,           0.0015548,             0.77696,             0.63421,             0.72039,             0.45686,             0.04218,            0.024373,           0.0021561,            0.007954,            0.007954,            0.007954
                  64,            0.045431,            0.016784,           0.0015759,             0.77631,             0.63384,             0.72158,             0.45749,            0.042154,            0.024364,           0.0021424,            0.007921,            0.007921,            0.007921
                  65,            0.045366,            0.016781,           0.0015598,             0.77448,             0.63324,             0.72204,             0.45785,             0.04214,            0.024357,           0.0021523,            0.007888,            0.007888,            0.007888
                  66,            0.045182,            0.016647,           0.0015128,             0.77299,             0.63344,             0.72215,              0.4579,            0.042113,            0.024355,            0.002144,            0.007855,            0.007855,            0.007855
                  67,            0.045368,            0.016799,           0.0017092,             0.77221,             0.63381,             0.72225,             0.45848,            0.042114,            0.024353,           0.0021382,            0.007822,            0.007822,            0.007822
                  68,             0.04507,            0.016677,           0.0014559,             0.77099,             0.63444,             0.72205,             0.45895,            0.042095,            0.024349,           0.0021427,            0.007789,            0.007789,            0.007789
                  69,            0.044978,            0.016696,           0.0014427,             0.77407,             0.63321,             0.72206,              0.4592,            0.042072,            0.024341,           0.0021098,            0.007756,            0.007756,            0.007756
                  70,            0.045175,            0.016861,           0.0015783,             0.77461,             0.63275,             0.72245,              0.4597,            0.042059,            0.024335,           0.0020959,            0.007723,            0.007723,            0.007723
                  71,            0.044544,             0.01658,           0.0015536,             0.77405,             0.63218,             0.72325,             0.46108,             0.04205,            0.024329,           0.0020848,             0.00769,             0.00769,             0.00769
                  72,            0.045482,            0.016738,           0.0016062,             0.77579,             0.63002,             0.72315,             0.46209,            0.042036,            0.024326,           0.0020862,            0.007657,            0.007657,            0.007657
                  73,            0.044845,            0.016567,           0.0015365,             0.77575,             0.63163,             0.72337,             0.46119,            0.042019,            0.024321,           0.0020906,            0.007624,            0.007624,            0.007624
                  74,            0.045145,            0.016805,           0.0016475,             0.77495,             0.63524,             0.72373,              0.4618,            0.041995,            0.024315,           0.0020954,            0.007591,            0.007591,            0.007591
                  75,            0.045037,            0.016718,           0.0014501,             0.77909,              0.6293,             0.72405,             0.46189,            0.041985,            0.024308,           0.0021034,            0.007558,            0.007558,            0.007558
                  76,            0.044782,            0.016763,           0.0013294,             0.78304,             0.62965,             0.72366,             0.46181,            0.041967,            0.024301,           0.0021127,            0.007525,            0.007525,            0.007525
                  77,            0.044874,             0.01657,           0.0014116,             0.77097,             0.63916,             0.72356,             0.46215,            0.041941,            0.024295,           0.0021157,            0.007492,            0.007492,            0.007492
                  78,             0.04464,            0.016523,           0.0013331,             0.78558,              0.6273,             0.72334,              0.4624,            0.041921,            0.024287,           0.0021161,            0.007459,            0.007459,            0.007459
                  79,            0.044552,            0.016462,           0.0014176,             0.78598,             0.62774,             0.72395,             0.46164,            0.041906,            0.024285,           0.0021077,            0.007426,            0.007426,            0.007426
